Instance;Best sol;Mean sol;Min sol;Max sol;Time Best;Time mean;Best known
berlin52;7542;7542;7542;7542;2,145;0,335;
eil51;426;426;426;427;0,064;0,06;
eil76;538;538;538;541;0,114;0,133;
rat195;2329;2339;2329;2349;0,622;0,754;
pr152;73818;74113;73818;74755;3,165;2,991;
pr1002;262055;263248;262055;264217;36,23;37,392;
